鄉鎮市區,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,總價元,單價每平方公尺
文山區,90.63,3,2,12000000,132406
北投區,164.59,5,2,11800000,71693
萬華區,34.15,1,1,8200000,240117
萬華區,43.4,1,1,9000000,207373
萬華區,40.95,0,1,9520000,232479
萬華區,34.15,1,1,8800000,257687
萬華區,73.8,1,1,16880000,228726
萬華區,81.38,1,1,18950000,232858
萬華區,41.73,1,1,9450000,226456
萬華區,40.95,1,1,9500000,231990
萬華區,34.15,1,1,7800000,228404
萬華區,71.59,1,1,17300000,241654
萬華區,40.3,1,1,9200000,228288
萬華區,40.95,1,1,9300000,227106
萬華區,42.76,1,1,9700000,226848
萬華區,59.36,1,1,13500000,227426
萬華區,42.76,1,1,9500000,222170
士林區,124.09,3,2,17500000,141027
萬華區,35.11,1,1,4600000,131017
內湖區,137.58,3,2,10000000,72685
士林區,70.86,0,0,21000000,296359
萬華區,19.01,0,0,13650000,718043
大同區,112.32,2,2,12780000,113782
大同區,5.45,3,2,600000,110092
大同區,110.37,2,2,4200000,38054
萬華區,139.92,0,0,14500000,103631
大同區,61.78,0,3,11380000,184202
中山區,73.7,5,2,13380000,181547
信義區,93.21,3,1,6971000,74788
士林區,116.7,3,2,17000000,145673
北投區,104.73,3,2,12000000,114580
北投區,167.4,3,2,39000000,232975
士林區,97.41,3,2,8000000,82127
大安區,130.86,3,2,25000000,191044
大安區,135.07,3,2,32800000,242837
中山區,44.99,1,1,9500000,211158
中山區,139.15,3,2,25430000,182752
中山區,155.47,3,2,23200000,149225
中山區,76.37,2,2,15150000,198376
中山區,56.21,1,1,9880000,175769
大同區,27.84,4,0,20500000,736351
萬華區,64.24,1,1,12480000,194271
萬華區,30.88,1,1,7250000,234780
大同區,133.43,3,2,16300000,122161
萬華區,87.8,2,2,14500000,165148
文山區,88.19,3,2,7280000,82549
中正區,25.63,1,1,4000000,156067
文山區,9.05,0,0,1000000,110497
信義區,105.22,3,2,23200000,220490
信義區,108.82,4,2,16000000,147032
內湖區,80.16,2,2,11300000,140968
中山區,100.31,2,2,16680000,166285
內湖區,90.54,3,2,13800000,152419
士林區,104.44,3,2,12000000,114899
士林區,74.37,3,2,8000000,107570
松山區,131.58,3,2,25500000,193798
士林區,40.43,2,0,7500000,185506
北投區,78.55,2,2,8450000,107575
松山區,46.75,1,1,8600000,183957
信義區,141.42,4,2,16800000,118795
松山區,107.07,3,2,20450000,190997
信義區,88.65,3,2,14600000,164693
松山區,114.91,3,2,27380000,238273
南港區,293.2,0,0,68800000,234652
南港區,293.2,0,0,69500000,237040
北投區,117.31,3,2,12000000,102293
士林區,117.54,0,0,75120000,639102
士林區,222.84,0,0,349880000,1570095
內湖區,110.57,3,2,14580000,131862
中山區,63.97,2,2,8880000,138815
松山區,50.47,0,0,15900000,315039
內湖區,53.38,2,2,13000000,243537
中正區,53.71,1,1,13150000,244833
文山區,118.24,3,2,13400000,113329
文山區,43.7,1,1,5940000,135927
中正區,28.66,1,1,4800000,167481
大同區,45.06,1,2,2614093,58014
大同區,259.73,2,2,12000000,46204
中正區,36.45,1,0,8600000,235940
文山區,225.57,3,2,54580000,241965
萬華區,93.24,3,1,7000000,75075
萬華區,121.77,3,2,21500000,176562
中正區,107.83,0,0,10211111,94696
萬華區,15.24,0,0,1550000,101706
中山區,210.13,2,2,47560000,226336
內湖區,105.13,3,2,16000000,152193
中山區,51.73,2,1,9650000,186546
內湖區,99.34,3,2,13000000,130864
中山區,70.93,1,1,11300000,159312
大安區,137.33,2,2,38000000,276706
大安區,123.24,3,2,14500000,117657
大安區,100.61,2,2,21000000,208727
大安區,103.03,3,1,20900000,202854
大安區,40.28,1,1,11500000,285501
大安區,108.05,3,2,21000000,194354
北投區,72.03,3,2,3210300,44575
大同區,91.44,2,2,6000000,65617
內湖區,98.03,3,2,10260000,104662
中山區,37.88,1,1,6785000,179118
中正區,83.6,2,2,16880000,201914
文山區,146.9,3,2,21580000,146903
士林區,53.76,1,2,17380000,323289
北投區,113.45,5,0,13880000,122345
大安區,18.91,0,0,869000,45955
大安區,50.27,1,1,11300000,224786
大安區,262.32,6,1,65000000,247789
大安區,149.32,4,1,40000000,267881
大安區,86.65,2,1,12180000,140565
大安區,30.68,1,0,7000000,228162
中山區,80.04,1,1,7900000,98701
中山區,119.09,3,2,21400000,179696
中山區,30.52,1,1,6750000,221166
中山區,122.53,3,2,27280000,222639
中山區,136.67,3,2,31580000,231068
大同區,9.49,3,1,640560,67498
文山區,90.03,2,2,11600000,128846
中山區,84.22,0,0,20000000,237473
中山區,38.34,1,1,10800000,281690
中山區,49.88,1,1,7800000,156375
信義區,65.7,4,2,13000000,197869
信義區,109.22,3,2,7200000,65922
松山區,266.74,0,1,55917962,209635
南港區,103.8,3,2,14000000,134875
信義區,108.55,3,2,21000000,193441
南港區,50.2,1,1,9600000,191235
信義區,78.38,5,0,14600000,186272
松山區,128.75,4,2,23500000,182524
信義區,122.36,3,2,26500000,216574
信義區,112.07,4,4,24300000,216829
松山區,134.06,3,2,24700000,184232
信義區,37.74,1,1,12000000,317965
北投區,164.59,3,2,12600000,76554
北投區,108.94,3,2,12880000,118230
北投區,49.25,0,0,7800000,158376
士林區,104.96,3,2,14680000,139863
士林區,70.42,2,2,13000000,184607
士林區,142.77,3,2,26200000,183512
士林區,65.45,3,2,19680000,300688
士林區,92,0,0,130000000,1413043
南港區,122.64,3,2,21000000,171233
南港區,84.5,3,2,11000000,130178
信義區,34.25,1,1,6800000,198540
內湖區,61.64,1,1,8500000,137897
內湖區,91.81,2,2,18000000,196057
內湖區,92.49,2,2,13000000,140556
內湖區,52.62,0,0,13000000,247054
文山區,318.73,7,3,18649873,58513
文山區,83.5,1,2,14500000,173653
文山區,102.62,3,2,15800000,153966
中正區,41.69,0,1,8980000,215399
文山區,67.13,2,1,9350000,139282
